tconst,titleType,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,imdbTop250Rank,letterboxdUrl,letterboxdRatingOutOf5,rottenTomatoesPercent,metacriticScore,metacriticUserScore
tt0111161,movie,The Shawshank Redemption,The Shawshank Redemption,1994,142,Drama,9.3,3160312,1,https://letterboxd.com/film/the-shawshank-redemption/,4.58,89.0,82.0,
tt0068646,movie,The Godfather,The Godfather,1972,175,"Crime,Drama",9.2,2206636,2,https://letterboxd.com/film/the-godfather/,4.52,97.0,100.0,
tt0468569,movie,The Dark Knight,The Dark Knight,2008,152,"Action,Crime,Drama",9.1,3137340,3,https://letterboxd.com/film/the-dark-knight/,4.49,94.0,85.0,
tt0071562,movie,The Godfather Part II,The Godfather Part II,1974,202,"Crime,Drama",9.0,1482860,4,https://letterboxd.com/film/the-godfather-part-ii/,4.59,96.0,90.0,
tt0050083,movie,12 Angry Men,12 Angry Men,1957,96,"Crime,Drama",9.0,974676,5,https://letterboxd.com/film/12-angry-men/,4.63,100.0,97.0,
tt0167260,movie,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,2003,201,"Adventure,Drama,Fantasy",9.0,2147265,6,https://letterboxd.com/film/the-lord-of-the-rings-the-return-of-the-king/,4.54,94.0,94.0,
tt0108052,movie,Schindler's List,Schindler's List,1993,195,"Biography,Drama,History",9.0,1574619,7,https://letterboxd.com/film/schindlers-list/,4.54,98.0,95.0,
tt0120737,movie,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,2001,178,"Adventure,Drama,Fantasy",8.9,2187865,8,https://letterboxd.com/film/the-lord-of-the-rings-the-fellowship-of-the-ring/,4.39,91.0,92.0,
tt0110912,movie,Pulp Fiction,Pulp Fiction,1994,154,"Crime,Drama",8.8,2415880,9,https://letterboxd.com/film/pulp-fiction/,4.24,92.0,95.0,
tt0060196,movie,"The Good, the Bad and the Ugly","Il buono, il brutto, il cattivo",1966,178,"Adventure,Drama,Western",8.8,885413,10,https://letterboxd.com/film/the-good-the-bad-and-the-ugly/,4.51,97.0,90.0,
tt0167261,movie,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers,2002,179,"Adventure,Drama,Fantasy",8.8,1940395,11,https://letterboxd.com/film/the-lord-of-the-rings-the-two-towers/,4.43,95.0,87.0,
tt0109830,movie,Forrest Gump,Forrest Gump,1994,142,"Drama,Romance",8.8,2474355,12,https://letterboxd.com/film/forrest-gump/,4.17,75.0,82.0,
tt0137523,movie,Fight Club,Fight Club,1999,139,"Crime,Drama,Thriller",8.8,2577098,13,https://letterboxd.com/film/fight-club/,4.27,81.0,67.0,
tt1375666,movie,Inception,Inception,2010,148,"Action,Adventure,Sci-Fi",8.8,2789710,14,https://letterboxd.com/film/inception/,4.23,87.0,74.0,
tt0080684,movie,Star Wars: Episode V - The Empire Strikes Back,Star Wars: Episode V - The Empire Strikes Back,1980,124,"Action,Adventure,Fantasy",8.7,1493567,15,https://letterboxd.com/film/the-empire-strikes-back/,4.4,93.0,82.0,
tt0133093,movie,The Matrix,The Matrix,1999,136,"Action,Sci-Fi",8.7,2229152,16,https://letterboxd.com/film/the-matrix/,4.18,83.0,73.0,
tt0099685,movie,Goodfellas,GoodFellas,1990,145,"Biography,Crime,Drama",8.7,1379094,17,https://letterboxd.com/film/goodfellas/,4.46,93.0,92.0,
tt0816692,movie,Interstellar,Interstellar,2014,169,"Adventure,Drama,Sci-Fi",8.7,2484758,18,https://letterboxd.com/film/interstellar/,4.44,73.0,74.0,
tt0073486,movie,One Flew Over the Cuckoo's Nest,One Flew Over the Cuckoo's Nest,1975,133,Drama,8.6,1150702,19,https://letterboxd.com/film/one-flew-over-the-cuckoos-nest/,4.37,93.0,84.0,
tt0114369,movie,Se7en,Se7en,1995,127,"Crime,Drama,Mystery",8.6,1999956,20,https://letterboxd.com/film/se7en/,4.37,84.0,65.0,
tt0038650,movie,It's a Wonderful Life,It's a Wonderful Life,1946,130,"Drama,Family,Fantasy",8.6,551743,21,https://letterboxd.com/film/its-a-wonderful-life/,4.44,94.0,89.0,
tt0102926,movie,The Silence of the Lambs,The Silence of the Lambs,1991,118,"Crime,Drama,Horror",8.6,1706215,22,https://letterboxd.com/film/the-silence-of-the-lambs/,4.34,95.0,86.0,
tt0047478,movie,Seven Samurai,Shichinin no samurai,1954,207,"Action,Drama",8.6,399518,23,https://letterboxd.com/film/seven-samurai/,4.6,100.0,98.0,
tt0120815,movie,Saving Private Ryan,Saving Private Ryan,1998,169,"Drama,War",8.6,1625173,24,https://letterboxd.com/film/saving-private-ryan/,4.25,94.0,91.0,
tt0120689,movie,The Green Mile,The Green Mile,1999,189,"Crime,Drama,Fantasy",8.6,1547660,25,https://letterboxd.com/film/the-green-mile/,4.28,78.0,61.0,
tt0317248,movie,City of God,Cidade de Deus,2002,130,"Crime,Drama",8.6,865094,26,https://letterboxd.com/film/city-of-god/,4.56,91.0,79.0,
tt0118799,movie,Life Is Beautiful,La vita è bella,1997,116,"Comedy,Drama,Romance",8.6,806733,27,https://letterboxd.com/film/life-is-beautiful/,4.4,80.0,58.0,
tt0103064,movie,Terminator 2: Judgment Day,Terminator 2: Judgment Day,1991,137,"Action,Adventure,Sci-Fi",8.6,1275045,28,https://letterboxd.com/film/terminator-2-judgment-day/,4.29,91.0,75.0,
tt0076759,movie,Star Wars: Episode IV - A New Hope,Star Wars,1977,121,"Action,Adventure,Fantasy",8.6,1558810,29,https://letterboxd.com/film/star-wars/,4.16,94.0,90.0,
tt0088763,movie,Back to the Future,Back to the Future,1985,116,"Adventure,Comedy,Sci-Fi",8.5,1438941,30,https://letterboxd.com/film/back-to-the-future/,4.21,93.0,88.0,
tt0245429,movie,Spirited Away,Sen to Chihiro no kamikakushi,2001,124,"Adventure,Animation,Family",8.6,956700,31,https://letterboxd.com/film/spirited-away/,4.44,96.0,96.0,
