tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,imdbTop250Rank,letterboxdSlug,letterboxdUrl,letterboxdRatingOutOf5
tt0111161,movie,The Shawshank Redemption,The Shawshank Redemption,0,1994,,142,Drama,9.3,3160312,1,the-shawshank-redemption,https://letterboxd.com/film/the-shawshank-redemption/,4.58
tt0068646,movie,The Godfather,The Godfather,0,1972,,175,"Crime,Drama",9.2,2206636,2,the-godfather,https://letterboxd.com/film/the-godfather/,4.52
tt0468569,movie,The Dark Knight,The Dark Knight,0,2008,,152,"Action,Crime,Drama",9.1,3137340,3,the-dark-knight,https://letterboxd.com/film/the-dark-knight/,4.49
tt0071562,movie,The Godfather Part II,The Godfather Part II,0,1974,,202,"Crime,Drama",9.0,1482860,4,the-godfather-part-ii,https://letterboxd.com/film/the-godfather-part-ii/,4.59
tt0050083,movie,12 Angry Men,12 Angry Men,0,1957,,96,"Crime,Drama",9.0,974676,5,12-angry-men,https://letterboxd.com/film/12-angry-men/,4.63
tt0167260,movie,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,0,2003,,201,"Adventure,Drama,Fantasy",9.0,2147265,6,the-lord-of-the-rings-the-return-of-the-king,https://letterboxd.com/film/the-lord-of-the-rings-the-return-of-the-king/,4.54
tt0108052,movie,Schindler's List,Schindler's List,0,1993,,195,"Biography,Drama,History",9.0,1574619,7,schindlers-list,https://letterboxd.com/film/schindlers-list/,4.54
tt0120737,movie,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,0,2001,,178,"Adventure,Drama,Fantasy",8.9,2187865,8,the-lord-of-the-rings-the-fellowship-of-the-ring,https://letterboxd.com/film/the-lord-of-the-rings-the-fellowship-of-the-ring/,4.39
tt0110912,movie,Pulp Fiction,Pulp Fiction,0,1994,,154,"Crime,Drama",8.8,2415880,9,pulp-fiction,https://letterboxd.com/film/pulp-fiction/,4.24
tt0060196,movie,"The Good, the Bad and the Ugly","Il buono, il brutto, il cattivo",0,1966,,178,"Adventure,Drama,Western",8.8,885413,10,the-good-the-bad-and-the-ugly,https://letterboxd.com/film/the-good-the-bad-and-the-ugly/,4.51
tt0167261,movie,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers,0,2002,,179,"Adventure,Drama,Fantasy",8.8,1940395,11,the-lord-of-the-rings-the-two-towers,https://letterboxd.com/film/the-lord-of-the-rings-the-two-towers/,4.43
tt0109830,movie,Forrest Gump,Forrest Gump,0,1994,,142,"Drama,Romance",8.8,2474355,12,forrest-gump,https://letterboxd.com/film/forrest-gump/,4.17
tt0137523,movie,Fight Club,Fight Club,0,1999,,139,"Crime,Drama,Thriller",8.8,2577098,13,fight-club,https://letterboxd.com/film/fight-club/,4.27
tt1375666,movie,Inception,Inception,0,2010,,148,"Action,Adventure,Sci-Fi",8.8,2789710,14,inception,https://letterboxd.com/film/inception/,4.23
tt0080684,movie,Star Wars: Episode V - The Empire Strikes Back,Star Wars: Episode V - The Empire Strikes Back,0,1980,,124,"Action,Adventure,Fantasy",8.7,1493567,15,the-empire-strikes-back,https://letterboxd.com/film/the-empire-strikes-back/,4.4
tt0133093,movie,The Matrix,The Matrix,0,1999,,136,"Action,Sci-Fi",8.7,2229152,16,the-matrix,https://letterboxd.com/film/the-matrix/,4.18
tt0099685,movie,Goodfellas,GoodFellas,0,1990,,145,"Biography,Crime,Drama",8.7,1379094,17,goodfellas,https://letterboxd.com/film/goodfellas/,4.46
tt0816692,movie,Interstellar,Interstellar,0,2014,,169,"Adventure,Drama,Sci-Fi",8.7,2484758,18,interstellar,https://letterboxd.com/film/interstellar/,4.44
tt0073486,movie,One Flew Over the Cuckoo's Nest,One Flew Over the Cuckoo's Nest,0,1975,,133,Drama,8.6,1150702,19,one-flew-over-the-cuckoos-nest,https://letterboxd.com/film/one-flew-over-the-cuckoos-nest/,4.37
tt0114369,movie,Se7en,Se7en,0,1995,,127,"Crime,Drama,Mystery",8.6,1999956,20,se7en,https://letterboxd.com/film/se7en/,4.37
tt0038650,movie,It's a Wonderful Life,It's a Wonderful Life,0,1946,,130,"Drama,Family,Fantasy",8.6,551743,21,its-a-wonderful-life,https://letterboxd.com/film/its-a-wonderful-life/,4.44
tt0102926,movie,The Silence of the Lambs,The Silence of the Lambs,0,1991,,118,"Crime,Drama,Horror",8.6,1706215,22,the-silence-of-the-lambs,https://letterboxd.com/film/the-silence-of-the-lambs/,4.34
tt0047478,movie,Seven Samurai,Shichinin no samurai,0,1954,,207,"Action,Drama",8.6,399518,23,seven-samurai,https://letterboxd.com/film/seven-samurai/,4.6
tt0120815,movie,Saving Private Ryan,Saving Private Ryan,0,1998,,169,"Drama,War",8.6,1625173,24,saving-private-ryan,https://letterboxd.com/film/saving-private-ryan/,4.25
tt0120689,movie,The Green Mile,The Green Mile,0,1999,,189,"Crime,Drama,Fantasy",8.6,1547660,25,the-green-mile,https://letterboxd.com/film/the-green-mile/,4.28
tt0317248,movie,City of God,Cidade de Deus,0,2002,,130,"Crime,Drama",8.6,865094,26,city-of-god,https://letterboxd.com/film/city-of-god/,4.56
tt0118799,movie,Life Is Beautiful,La vita è bella,0,1997,,116,"Comedy,Drama,Romance",8.6,806733,27,life-is-beautiful,https://letterboxd.com/film/life-is-beautiful/,4.4
tt0103064,movie,Terminator 2: Judgment Day,Terminator 2: Judgment Day,0,1991,,137,"Action,Adventure,Sci-Fi",8.6,1275045,28,terminator-2-judgment-day,https://letterboxd.com/film/terminator-2-judgment-day/,4.29
tt0076759,movie,Star Wars: Episode IV - A New Hope,Star Wars,0,1977,,121,"Action,Adventure,Fantasy",8.6,1558810,29,star-wars,https://letterboxd.com/film/star-wars/,4.16
tt0088763,movie,Back to the Future,Back to the Future,0,1985,,116,"Adventure,Comedy,Sci-Fi",8.5,1438941,30,back-to-the-future,https://letterboxd.com/film/back-to-the-future/,4.21
tt0245429,movie,Spirited Away,Sen to Chihiro no kamikakushi,0,2001,,124,"Adventure,Animation,Family",8.6,956700,31,spirited-away,https://letterboxd.com/film/spirited-away/,4.44
tt0253474,movie,The Pianist,The Pianist,0,2002,,150,"Biography,Drama,Music",8.5,1004350,32,the-pianist,https://letterboxd.com/film/the-pianist/,4.4
tt0172495,movie,Gladiator,Gladiator,0,2000,,155,"Action,Adventure,Drama",8.5,1832483,33,gladiator-2000,https://letterboxd.com/film/gladiator-2000/,4.17
tt6751668,movie,Parasite,Gisaengchung,0,2019,,132,"Drama,Thriller",8.5,1145711,34,parasite-2019,https://letterboxd.com/film/parasite-2019/,4.53
tt0095327,movie,Grave of the Fireflies,Hotaru no haka,0,1988,,88,"Animation,Drama,War",8.5,378668,35,grave-of-the-fireflies,https://letterboxd.com/film/grave-of-the-fireflies/,4.48
tt0054215,movie,Psycho,Psycho,0,1960,,109,"Drama,Horror,Mystery",8.5,780477,36,psycho,https://letterboxd.com/film/psycho/,4.31
